338406210539757568  May 25 17:28  @DaNcEr4LyFe101   Saw a guy driving a lawm mower across the street today #onlyimwautoma #SFAF
339768678230933505  May 29 11:42  @digitalbio       RNA extracted from oyster gills > made cDNA libraries > used Illumina HiSeq & MiSeq > GeneSifter to look at expression #SFAF
339768906728214528  May 29 11:43  @digitalbio       Problem - how to annotate reads without a reference genome? The Atlantic Oyster genome hasn't been sequenced yet. #SFAF
339769274182823936  May 29 11:44  @digitalbio       The genomes of Pacific Oysters and Atlantic Oysters are pretty different - causes challenges with annotation, only 10% of RNAs mapped #SFAF
339769526419865600  May 29 11:45  @digitalbio       Oyster annotation:  Got better results by assembling transcripts and using blastx & Swissprot to identify #SFAF
339770556498993152  May 29 11:49  @digitalbio       Differential patterns of gene expression observed  ex: AhR (Aryl hydrocarbon receptor) gene stays expressed in presence of oil, low O2 #SFAF
339770935164936193  May 29 11:51  @aphillippy       #SFAF T. Smith presenting evidence of differential expression in oysters pre and post horizon oil spill, used Trinity for transcript asm
339771048671199232  May 29 11:51  @digitalbio       Longer reads & paired reads provide better tools for annotation with non-model organisms & those with missing reference genomes #SFAF
339771343887294464  May 29 11:52  @aphillippy       #SFAF 2013 meeting guide http://www.lanl.gov/conferences/finishfuture/pdfs/guides/2013-meeting-guide.pdf
339771485910597632  May 29 11:53  @digitalbio       RT @aphillippy: #SFAF 2013 meeting guide http://www.lanl.gov/conferences/finishfuture/pdfs/guides/2013-meeting-guide.pdf
339772880659292160  May 29 11:59  @genetics_blog    RT @aphillippy: #SFAF 2013 meeting guide http://www.lanl.gov/conferences/finishfuture/pdfs/guides/2013-meeting-guide.pdf
339773486828486657  May 29 12:01  @digitalbio       Christian Buhay - Sequencing mitochondrial samples for the clinic  - visualize changes in genome browser - ex - 4 kb deletion #SFAF
339775105787908096  May 29 12:07  @digitalbio       @SahaSurya  I think he calls the genomes "Snyder's children" - 'cause of Michael Snyder #SFAF
339780572299812864  May 29 12:29  @digitalbio       @liveinsymbiosis Not my assemblies - Just a bystander here - I'm at the #SFAF conference & tweeting about some of the talks
339781831962533888  May 29 12:34  @liveinsymbiosis  @digitalbio sounds like fun at #SFAF / #SFAF2013 lot of good tweeters to cover it too
339783953584111617  May 29 12:43  @neveaire         RT @digitalbio: Interesting story about nonsense mutations #SFAF http://www.ncbi.nlm.nih.gov/pubmed/?term=Bainbridge+ASXL3
339787645376925696  May 29 12:57  @CampOther        RT @digitalbio: Discussing relative Importance of rare variants (family) vs. common variants (population) in disease - Clan Genomics - #SFAF
339797779796869121  May 29 13:37  @dnanexus         RT @aphillippy: #SFAF 2013 meeting guide http://www.lanl.gov/conferences/finishfuture/pdfs/guides/2013-meeting-guide.pdf
339800370899468288  May 29 13:48  @aphillippy       #SFAF Stephen Turner @PacBio covering so much ground, can't keep up, hoping slides will be posted.
339800613728706560  May 29 13:49  @aphillippy       #SFAF S. Turner: next PacBio chemistry coming so soon, if this was a pregnancy you should be putting the crib in the nursery
339801547187834880  May 29 13:52  @aphillippy       #SFAF S. Turner proposing color coding to represent split read mappings. Hawkeye asm viewer used a similar strategy for split pair mappings
339803451158577152  May 29 14:00  @bioinformer      RT @aphillippy: #SFAF Stephen Turner @PacBio covering so much ground, can't keep up, hoping slides will be posted.
339804631024672768  May 29 14:05  @aphillippy       #SFAF good point from the audience: short reads add a hidden informatics cost (depending on application), longer reads easier to handle
339804808821235712  May 29 14:05  @genetics_blog    Following @SahaSurya @aphillippy @bioinformer et al for tweets out of #SFAF #SFAF2013 http://www.lanl.gov/finishinginthefuture/. how about using same hashtag?
339805201466789888  May 29 14:07  @genetics_blog    @aphillippy @SahaSurya @bioinformer Yes, #SFAF2013 is superfluous. #SFAF is unique, go with it and give yourself some extra chars!
339805498901667842  May 29 14:08  @SahaSurya        @bioinformer @genetics_blog @aphillippy #sfaf is also used for other stuff out there
339806115275616256  May 29 14:11  @bioinformer      @genetics_blog @aphillippy @SahaSurya agreed. Adam and I were using #SFAF but @SahaSurya put #SFAF2013 up on the big screen :D #sheep
339807352242982912  May 29 14:16  @genetics_blog    @bioinformer @aphillippy @SahaSurya saving them both at https://github.com/stephenturner/twitterchive/blob/master/SFAF.txt (#SFAF) and https://github.com/stephenturner/twitterchive/blob/master/SFAF2013.txt (#SFAF2013)
339807673648295936  May 29 14:17  @SahaSurya        RT @genetics_blog: @bioinformer @aphillippy @SahaSurya saving them both at https://github.com/stephenturner/twitterchive/blob/master/SFAF.txt (#SFAF) and https://github.com/stephenturner/twitterchive/blob/master/SFAF2013.txt (#SFAF2013)
339808241905197056  May 29 14:19  @LosAlamosNatLab  Kicking off the 8th annual Sequencing, Finishing, and Analysis in the Future Meeting! The room is full - 250 participants this year. #SFAF
339808958913064960  May 29 14:22  @aphillippy       RT @genetics_blog: @bioinformer @aphillippy @SahaSurya saving them both at https://github.com/stephenturner/twitterchive/blob/master/SFAF.txt (#SFAF) and https://github.com/stephenturner/twitterchive/blob/master/SFAF2013.txt (#SFAF2013)
339810677810155520  May 29 14:29  @aphillippy       #SFAF Q on cost of closure for PacBio, Turner dodges question, if you're in the US and want numbers see here http://arxiv.org/abs/1304.3752
339810892160045056  May 29 14:30  @surt_lab         RT @aphillippy: #SFAF Q on cost of closure for PacBio, Turner dodges question, if you're in the US and want numbers see here http://t.co/3tcjL5Mg27
339811343379070976  May 29 14:31  @bioinformer      Haha! The @illumina "EgoSeq"  #SFAF
339813716503703552  May 29 14:41  @bioinformer      RT @aphillippy: #SFAF Q on cost of closure for PacBio, Turner dodges question, if you're in the US and want numbers see here http://t.co/3tcjL5Mg27
339815282321285120  May 29 14:47  @aphillippy       #SFAF panelists partaking in all possible forms of nanopore bashing
339817660219015168  May 29 14:56  @Bacterioskeptic  RT @aphillippy: #SFAF panelists partaking in all possible forms of nanopore bashing
339824178452635649  May 29 15:22  @mike_schatz      RT @aphillippy: #SFAF Q on cost of closure for PacBio, Turner dodges question, if you're in the US and want numbers see here http://t.co/3tcjL5Mg27
339840254188072960  May 29 16:26  @OmicsOmicsBlog   RT @aphillippy: #SFAF S. Turner proposing color coding to represent split read mappings. Hawkeye asm viewer used a similar strategy for split pair mappings
339840293937491968  May 29 16:26  @OmicsOmicsBlog   RT @aphillippy: #SFAF S. Turner: next PacBio chemistry coming so soon, if this was a pregnancy you should be putting the crib in the nursery
339843905572978689  May 29 16:41  @aphillippy       #SFAF Bud Mishra up next "Self-Validating Technology-Agnostic Genome Assembly" ... that's a pretty high bar to meet :)
339848746290528257  May 29 17:00  @aphillippy       #SFAF B. Mishra presenting TotalReCaller http://bioinformatics.nyu.edu/wordpress/projects/totalrecaller/ and SUTTA http://bioinformatics.nyu.edu/wordpress/projects/sutta/
339852972685152256  May 29 17:17  @bioinformer      Talk from @nabsys at #SFAF looks great. Resonates more with me than @OpGen tech.
339855130218356736  May 29 17:25  @aphillippy       #SFAF John Oliver presenting Nabsys http://www.nabsys.com/ single-molecule mapping technology. Higher resolution that optical approaches.
339877241431420928  May 29 18:53  @finchtalk        “@aphillippy: #SFAF panelists partaking in all possible forms of nanopore bashing” | from earlier in the day with #SFAF2013 tag
339877798883762178  May 29 18:55  @OmicsOmicsBlog   RT @aphillippy: #SFAF Bud Mishra up next "Self-Validating Technology-Agnostic Genome Assembly" ... that's a pretty high bar to meet :)
339881329330122752  May 29 19:09  @aphillippy       #SFAF Bradley Langhorst (NEB) separating microbial dna from human dna by selecting out dna with CpG methylation
339882033125916675  May 29 19:12  @bioinformer      Seems like @NEBiolabs microbiome enrichment kit could be used with soil samples too - to kick out bugs, fungi, plants etc #SFAF #noted
339889017132814337  May 29 19:40  @aphillippy       #SFAF Dave Alexander talking about Quiver PacBio consensus algorithm. Very effective in my experience. Recommend using it on all PB asms
339889443798401025  May 29 19:42  @SahaSurya        RT @aphillippy: #SFAF Dave Alexander talking about Quiver PacBio consensus algorithm. Very effective in my experience. Recommend using it on all PB asms
339890800089505792  May 29 19:47  @APMisLow         RT @aphillippy: #SFAF Dave Alexander talking about Quiver PacBio consensus algorithm. Very effective in my experience. Recommend using it on all PB asms
339891441562185728  May 29 19:50  @aphillippy       #SFAF D. Alexander's claim of QV60 consensus with Quiver is fair, I have seen similar performance with sufficient coverage (50-100x)
339891534738620416  May 29 19:50  @Bacterioskeptic  RT @aphillippy: #SFAF Dave Alexander talking about Quiver PacBio consensus algorithm. Very effective in my experience. Recommend using it on all PB asms
339891546558177280  May 29 19:50  @SahaSurya        RT @aphillippy: #SFAF D. Alexander's claim of QV60 consensus with Quiver is fair, I have seen similar performance with sufficient coverage (50-100x)
339891946032070657  May 29 19:52  @APMisLow         RT @aphillippy: #SFAF D. Alexander's claim of QV60 consensus with Quiver is fair, I have seen similar performance with sufficient coverage (50-100x)
339905992189943808  May 29 20:47  @infoecho         RT @aphillippy: #SFAF Dave Alexander talking about Quiver PacBio consensus algorithm. Very effective in my experience. Recommend using it on all PB asms
339912848329277440  May 29 21:15  @infoecho         RT @aphillippy: #SFAF Q on cost of closure for PacBio, Turner dodges question, if you're in the US and want numbers see here http://t.co/3tcjL5Mg27
339921293942079488  May 29 21:48  @olayimikasweetf  Saw a guy driving a lawm mower across the street today #onlyimwautoma #SFAF
339972760195440641  May 30 01:13  @SahaSurya        Day 1 tweets from SFAF 2013 storified http://sfy.co/aJz8 #storify #sfaf2013 #sfaf
339976333864075266  May 30 01:27  @lexnederbragt    RT @genetics_blog: Following @SahaSurya @aphillippy @bioinformer et al for tweets out of #SFAF #SFAF2013 http://www.lanl.gov/finishinginthefuture/. how about using same hashtag?
340006578897948672  May 30 03:27  @RalphGenomicus   RT @aphillippy: #SFAF D. Alexander's claim of QV60 consensus with Quiver is fair, I have seen similar performance with sufficient coverage (50-100x)
340104015650119680  May 30 09:54  @bioinformer      Day 2 of #SFAF getting ready to start - looking forward to P.Chain's talk on microbial forensics and metagenomics.
340176248821121024  May 30 14:41  @illumina         RT @SahaSurya: Day 1 tweets from SFAF 2013 storified http://sfy.co/aJz8 #storify #sfaf2013 #sfaf
340200151824072704  May 30 16:16  @dnanexus         Tech Time Talks: Today @ 4:10pm discover #Genomics Applications in the #Cloud. @akislyuk #SFAF
340236336143409152  May 30 18:40  @sjackman         RT @aphillippy: #SFAF John Oliver presenting Nabsys http://www.nabsys.com/ single-molecule mapping technology. Higher resolution that optical approaches.
340248386622066688  May 30 19:28  @dnanexus         Get sponsored to develop and distribute your #genomics app in the #cloud. http://goo.gl/SEmDD #SFAF http://t.co/LOy2J5bKRr
340250027161165824  May 30 19:35  @dnanexus         @aphillippy @akislyuk Dev Program Benefits:no out-of-pocket expenses, efficient distribution, co-marketing opps http://ow.ly/lyWqF #SFAF
340252755895648256  May 30 19:45  @enlightenbio     RT @dnanexus: Get sponsored to develop and distribute your #genomics app in the #cloud. http://goo.gl/SEmDD #SFAF http://t.co/LOy2J5bKRr
340252886292377600  May 30 19:46  @brigittegs       RT @dnanexus: Get sponsored to develop and distribute your #genomics app in the #cloud. http://goo.gl/SEmDD #SFAF http://t.co/LOy2J5bKRr
340257797360988161  May 30 20:05  @DNAmlin          RT @dnanexus: Get sponsored to develop and distribute your #genomics app in the #cloud. http://goo.gl/SEmDD #SFAF http://t.co/LOy2J5bKRr
340273508619792384  May 30 21:08  @pharmachristine  RT @dnanexus: Get sponsored to develop and distribute your #genomics app in the #cloud. http://goo.gl/SEmDD #SFAF http://t.co/LOy2J5bKRr
340589644016132096  May 31 18:04  @bioinformer      RT @SahaSurya: Day 1 tweets from SFAF 2013 storified http://sfy.co/aJz8 #storify #sfaf2013 #sfaf
